	AIDS	cancer	cardiac hypertrophy	gastric cancer	glioma	non-small cell lung cancer	barretts Esophagus	esophageal adenocarcinoma	lung cancer	nasopharyngeal carcinoma	dilated cardiomyopathy	HCV	human spinocerebellar ataxia type 8	Spinocerebellar ataxia type 8	Alzheimers disease	Inclusion body myositis	melanoma	colorectal cancer	papillary thyroid carcinoma	osteosarcoma	breast cancer	aging	cervical cancer	oesophagus cancer	ovarian cancer	parotid cancer	tongue cancer	depression	Huntingtons disease	psychiatric disease	schizophrenia	testicular cancer	blepharophimosis syndrome	prostat	endometrial cancer	carcinoma	colon cancer	gallbladder cancer	esophageal squamous cell carcinoma	acute myeloid leukemia	abdominal aortic aneurysm	acute lymphoblastic leukemia	aortic aneurysm	atherosclerosis	basal cell carcinoma	Cardiovascular disease	coronary artery disease	coronary disease	coronary heart disease	Diabetes	endometriosis	Esophageal squamous cell cancer	familial and sporadic intracranial aneurysms	Glaucoma	hereditary cutaneous malignant melanoma	intracranial aneurism	ischemic stroke	leukemia	myocardial infarction	neural system tumors syndrome	Neurofibromatosis type 1	periodontitis	peripheral artery disease	Plexiform neurofibroma	Stroke	tumor	type 2 diabetes	cat eye syndrome	adolescent idiopathic scoliosis	bone diseases	postmenopausal osteoporosis	hepatocellular carcinoma	prostate cancer	bipolar disorder	panic disorder	Pancreatic ductal adenocarcinoma	DiGeorge syndrome	velocardiofacial syndrome	affective disorders	Autism spectrum disorder	Major depression	chronic lymphocytic leukemia	lymphocytic leukemia	lymphoma	myeloma	myotonic dystrophy type 1	embryonal carcinoma	oral squamous cell carcinoma	autoimmune disease	B-cell neoplasms	kidney cancer	systemic lupus erythaematosus	bladder cancer	lung adenocarcinoma	multiple myeloma	pancreatic cancer	renal cell carcinoma	pseudohypoparathyroidism type Ib	adrenocortical carcinomas	Beckwith-Wiedemann syndrome	biparental complete hydatidiform moles	choricarcinoma	chronic myeloproliferative disorders	Congenital hyperinsulinism	germ cell tumor	gestational choriocarcinoma	gestational trophoblastic diseases	glioblastoma	growth restriction	hematopoiesis	hepatocelluar carcinoma	hyperhomocysteinemia	infertility	liver cancer	Mareks disease	Medulloblastoma	Meningioma	Mullerian aplasia	myeloproliferative polycythaemia vera	neural tube defects	neuroblastoma	obesity	pheochromocytoma	Pituitary adenoma	Prader-Willi syndrome	pre-eclampsia	Silver-Russell syndrome	trophoblastic tumor	Wiedemann-Beckwith syndrome	Wilms tumor	chronic myeloid leukemia	esophageal cancer	renal cancer	adenocarcinoma	oesophageal adenocarcinoma	epithelial ovarian cancer	gastrointestinal cancer	laryngeal squamous cell carcinoma	oesophageal squamous cell carcinoma	pancreas cancer	rheumatoid arthritis	small cell lung cancer	non-functioning pituitary adenoma	serous ovarian cancer	transient neonatal diabetes mellitus	multiple sclerosis	type 1 diabetes	narcolepsy	decreased myogenesis	uterus cancer	renal cell carcinoma (RCC)	diabetes mellitus	clear cell renal cell carcinoma	heroin abuse	myelodysplastic syndrome	nonfunctioning pituitary adenomas	drug abuse	myopia	diffuse large B-cell lymphoma	Burkitts lymphoma	squamous-cell lung carcinomas	Downs syndrome	glucose metabolism disorder	Parkinsons disease	psoriasis	Burkitts lymphomas	cleft lip	diabetic nephropathy	Hodgkins lymphoma	murine plasmacytomas	rhabdomyosarcoma	Spinocerebellar ataxia type 7	cardiomyopathy	Human Dilated Cardiomyopathy	dyskeratosis congenita	squamous carcinoma	tongue squamous cell carcinomas	Klinefelters syndrome
dilated cardiomyopathy	0.032258637	0.115768709	0.047619921	0.047619921	0.032258637	0.032258637	0.14897652	0.032258637	0.047619921	0.03846223	1	0.082379097	0.093408273	0.093408273	0.093408273	0.115768709	0.061343273	0.032258637	0.032258637	0.032258637	0.047619921	0.047619921	0.03846223	0.047619921	0.03846223	0.032258637	0.03846223	0.061343273	0.047619921	0.082379097	0.061343273	0.03846223	0.078342404	0.14897652	0.032258637	0.061343273	0.028013277	0.03846223	0.032258637	0.028013277	0.144176356	0.025087767	0.17190262	0.144176356	0.032258637	0.517415251	0.21283189	0.21283189	0.351665478	0.047619921	0.14897652	0.032258637	0.125202196	0.068032244	0.032258637	0.125202196	0.21283189	0.03846223	0.17190262	0.061343273	0.047619921	0.093408273	0.21283189	0.028013277	0.21283189	0.115768709	0.03846223	0.115648379	0.078342404	0.14897652	0.078342404	0.032258637	0.03846223	0.061343273	0.061343273	0.028013277	0.115648379	0.082379097	0.061343273	0.061343273	0.061343273	0.028013277	0.032258637	0.03846223	0.032258637	0.068032244	0.03846223	0.03846223	0.115648379	0.025087767	0.047619921	0.14897652	0.03846223	0.028013277	0.028013277	0.047619921	0.032258637	0.061343273	0.032258637	0.115768709	0.032258637	0.032258637	0.028013277	0.115648379	0.061343273	0.028013277	0.032258637	0.032258637	0.032258637	0.200063521	0.032258637	0.061343273	0.200063521	0.047619921	0.03846223	0.028013277	0.03846223	0.093408273	0.093408273	0.17181763	0.032258637	0.047619921	0.032258637	0.047619921	0.082379097	0.17190262	0.082379097	0.03846223	0.061343273	0.03846223	0.028013277	0.047619921	0.047619921	0.047619921	0.032258637	0.032258637	0.047619921	0.032258637	0.032258637	0.03846223	0.078342404	0.032258637	0.03846223	0.023062118	0.032258637	0.093408273	0.03846223	0.082379097	0.200063521	0.03846223	0.032258637	0.047619921	0.028013277	0.03846223	0.032258637	0.03846223	0.061343273	0.078342404	0.025087767	0.023062118	0.028013277	0.082379097	0.061343273	0.093408273	0.14897652	0.023062118	0.082379097	0.14897652	0.032258637	0.021654893	0.032258637	0.093408273	0.708500752	1	0.14897652	0.047619921	0.032258637	0.082379097
HCV	0.07496322	0.176370951	0.093360272	0.093360272	0.07496322	0.07496322	0.109892388	0.07496322	0.093360272	0.082379097	0.082379097	1	0.082379097	0.082379097	0.082379097	0.176370951	0.109892388	0.07496322	0.07496322	0.07496322	0.093360272	0.093360272	0.082379097	0.093360272	0.082379097	0.07496322	0.082379097	0.109892388	0.093360272	0.135412554	0.109892388	0.082379097	0.07496322	0.109892388	0.07496322	0.109892388	0.069898901	0.082379097	0.07496322	0.069898901	0.07496322	0.066414066	0.082379097	0.07496322	0.07496322	0.176370951	0.093360272	0.093360272	0.093360272	0.093360272	0.109892388	0.07496322	0.069898901	0.069898901	0.07496322	0.069898901	0.093360272	0.082379097	0.082379097	0.109892388	0.093360272	0.082379097	0.093360272	0.069898901	0.093360272	0.176370951	0.082379097	0.093360272	0.07496322	0.109892388	0.07496322	0.07496322	0.082379097	0.109892388	0.109892388	0.069898901	0.093360272	0.135412554	0.109892388	0.109892388	0.109892388	0.069898901	0.07496322	0.082379097	0.07496322	0.069898901	0.082379097	0.082379097	0.093360272	0.066414066	0.093360272	0.109892388	0.082379097	0.069898901	0.069898901	0.093360272	0.07496322	0.109892388	0.07496322	0.176370951	0.07496322	0.07496322	0.069898901	0.093360272	0.109892388	0.069898901	0.07496322	0.07496322	0.07496322	0.135412554	0.07496322	0.109892388	0.135412554	0.093360272	0.082379097	0.069898901	0.082379097	0.082379097	0.082379097	0.246397354	0.07496322	0.093360272	0.07496322	0.093360272	0.135412554	0.082379097	0.135412554	0.082379097	0.109892388	0.082379097	0.069898901	0.093360272	0.093360272	0.093360272	0.07496322	0.07496322	0.093360272	0.07496322	0.07496322	0.082379097	0.07496322	0.07496322	0.082379097	0.064003532	0.07496322	0.082379097	0.082379097	0.135412554	0.135412554	0.082379097	0.07496322	0.093360272	0.069898901	0.082379097	0.07496322	0.082379097	0.109892388	0.07496322	0.066414066	0.064003532	0.069898901	0.135412554	0.109892388	0.082379097	0.109892388	0.064003532	0.135412554	0.109892388	0.07496322	0.062330081	0.07496322	0.082379097	0.109892388	0.082379097	0.109892388	0.093360272	0.07496322	0.135412554
human spinocerebellar ataxia type 8	0.032258637	0.115768709	0.047619921	0.047619921	0.032258637	0.032258637	0.14897652	0.032258637	0.047619921	0.03846223	0.093408273	0.082379097	1	1	0.444229946	0.115768709	0.061343273	0.032258637	0.032258637	0.032258637	0.047619921	0.047619921	0.03846223	0.047619921	0.03846223	0.032258637	0.03846223	0.061343273	0.047619921	0.082379097	0.061343273	0.03846223	0.144176356	0.14897652	0.032258637	0.061343273	0.028013277	0.03846223	0.032258637	0.028013277	0.078342404	0.025087767	0.093408273	0.078342404	0.032258637	0.281152579	0.115648379	0.115648379	0.115648379	0.047619921	0.14897652	0.032258637	0.068032244	0.125202196	0.032258637	0.068032244	0.115648379	0.03846223	0.093408273	0.061343273	0.047619921	0.093408273	0.115648379	0.028013277	0.115648379	0.115768709	0.03846223	0.21283189	0.078342404	0.14897652	0.078342404	0.032258637	0.03846223	0.061343273	0.061343273	0.028013277	0.115648379	0.082379097	0.061343273	0.061343273	0.061343273	0.028013277	0.032258637	0.03846223	0.032258637	0.068032244	0.03846223	0.03846223	0.115648379	0.025087767	0.047619921	0.14897652	0.03846223	0.028013277	0.028013277	0.047619921	0.032258637	0.061343273	0.032258637	0.115768709	0.032258637	0.032258637	0.028013277	0.115648379	0.061343273	0.028013277	0.032258637	0.032258637	0.032258637	0.200063521	0.032258637	0.061343273	0.200063521	0.047619921	0.03846223	0.028013277	0.03846223	0.093408273	0.093408273	0.17181763	0.032258637	0.047619921	0.032258637	0.047619921	0.082379097	0.093408273	0.082379097	0.03846223	0.061343273	0.03846223	0.028013277	0.047619921	0.047619921	0.047619921	0.032258637	0.032258637	0.047619921	0.032258637	0.032258637	0.03846223	0.078342404	0.032258637	0.03846223	0.023062118	0.032258637	0.444229946	0.03846223	0.082379097	0.200063521	0.03846223	0.032258637	0.047619921	0.028013277	0.03846223	0.032258637	0.03846223	0.061343273	0.144176356	0.025087767	0.023062118	0.028013277	0.082379097	0.061343273	0.444229946	0.14897652	0.023062118	0.082379097	0.274166874	0.032258637	0.021654893	0.032258637	1	0.14897652	0.093408273	0.14897652	0.047619921	0.032258637	0.082379097
Spinocerebellar ataxia type 8	0.032258637	0.115768709	0.047619921	0.047619921	0.032258637	0.032258637	0.14897652	0.032258637	0.047619921	0.03846223	0.093408273	0.082379097	1	1	0.444229946	0.115768709	0.061343273	0.032258637	0.032258637	0.032258637	0.047619921	0.047619921	0.03846223	0.047619921	0.03846223	0.032258637	0.03846223	0.061343273	0.047619921	0.082379097	0.061343273	0.03846223	0.144176356	0.14897652	0.032258637	0.061343273	0.028013277	0.03846223	0.032258637	0.028013277	0.078342404	0.025087767	0.093408273	0.078342404	0.032258637	0.281152579	0.115648379	0.115648379	0.115648379	0.047619921	0.14897652	0.032258637	0.068032244	0.125202196	0.032258637	0.068032244	0.115648379	0.03846223	0.093408273	0.061343273	0.047619921	0.093408273	0.115648379	0.028013277	0.115648379	0.115768709	0.03846223	0.21283189	0.078342404	0.14897652	0.078342404	0.032258637	0.03846223	0.061343273	0.061343273	0.028013277	0.115648379	0.082379097	0.061343273	0.061343273	0.061343273	0.028013277	0.032258637	0.03846223	0.032258637	0.068032244	0.03846223	0.03846223	0.115648379	0.025087767	0.047619921	0.14897652	0.03846223	0.028013277	0.028013277	0.047619921	0.032258637	0.061343273	0.032258637	0.115768709	0.032258637	0.032258637	0.028013277	0.115648379	0.061343273	0.028013277	0.032258637	0.032258637	0.032258637	0.200063521	0.032258637	0.061343273	0.200063521	0.047619921	0.03846223	0.028013277	0.03846223	0.093408273	0.093408273	0.17181763	0.032258637	0.047619921	0.032258637	0.047619921	0.082379097	0.093408273	0.082379097	0.03846223	0.061343273	0.03846223	0.028013277	0.047619921	0.047619921	0.047619921	0.032258637	0.032258637	0.047619921	0.032258637	0.032258637	0.03846223	0.078342404	0.032258637	0.03846223	0.023062118	0.032258637	0.444229946	0.03846223	0.082379097	0.200063521	0.03846223	0.032258637	0.047619921	0.028013277	0.03846223	0.032258637	0.03846223	0.061343273	0.144176356	0.025087767	0.023062118	0.028013277	0.082379097	0.061343273	0.444229946	0.14897652	0.023062118	0.082379097	0.274166874	0.032258637	0.021654893	0.032258637	1	0.14897652	0.093408273	0.14897652	0.047619921	0.032258637	0.082379097
Alzheimers disease	0.032258637	0.115768709	0.047619921	0.047619921	0.032258637	0.032258637	0.14897652	0.032258637	0.047619921	0.03846223	0.093408273	0.082379097	0.444229946	0.444229946	1	0.115768709	0.061343273	0.032258637	0.032258637	0.032258637	0.047619921	0.047619921	0.03846223	0.047619921	0.03846223	0.032258637	0.03846223	0.061343273	0.047619921	0.082379097	0.061343273	0.03846223	0.144176356	0.14897652	0.032258637	0.061343273	0.028013277	0.03846223	0.032258637	0.028013277	0.078342404	0.025087767	0.093408273	0.078342404	0.032258637	0.281152579	0.115648379	0.115648379	0.115648379	0.047619921	0.14897652	0.032258637	0.068032244	0.125202196	0.032258637	0.068032244	0.115648379	0.03846223	0.093408273	0.061343273	0.047619921	0.093408273	0.115648379	0.028013277	0.115648379	0.115768709	0.03846223	0.21283189	0.078342404	0.14897652	0.078342404	0.032258637	0.03846223	0.061343273	0.061343273	0.028013277	0.115648379	0.082379097	0.061343273	0.061343273	0.061343273	0.028013277	0.032258637	0.03846223	0.032258637	0.068032244	0.03846223	0.03846223	0.115648379	0.025087767	0.047619921	0.14897652	0.03846223	0.028013277	0.028013277	0.047619921	0.032258637	0.061343273	0.032258637	0.115768709	0.032258637	0.032258637	0.028013277	0.115648379	0.061343273	0.028013277	0.032258637	0.032258637	0.032258637	0.200063521	0.032258637	0.061343273	0.200063521	0.047619921	0.03846223	0.028013277	0.03846223	0.093408273	0.093408273	0.17181763	0.032258637	0.047619921	0.032258637	0.047619921	0.082379097	0.093408273	0.082379097	0.03846223	0.061343273	0.03846223	0.028013277	0.047619921	0.047619921	0.047619921	0.032258637	0.032258637	0.047619921	0.032258637	0.032258637	0.03846223	0.078342404	0.032258637	0.03846223	0.023062118	0.032258637	0.444229946	0.03846223	0.082379097	0.200063521	0.03846223	0.032258637	0.047619921	0.028013277	0.03846223	0.032258637	0.03846223	0.061343273	0.144176356	0.025087767	0.023062118	0.028013277	0.082379097	0.061343273	0.444229946	0.14897652	0.023062118	0.082379097	0.274166874	0.032258637	0.021654893	0.032258637	0.444229946	0.14897652	0.093408273	0.14897652	0.047619921	0.032258637	0.082379097
Inclusion body myositis	0.107359913	0.223744292	0.128249503	0.128249503	0.107359913	0.107359913	0.14710564	0.107359913	0.128249503	0.115768709	0.115768709	0.176370951	0.115768709	0.115768709	0.115768709	1	0.14710564	0.107359913	0.107359913	0.107359913	0.128249503	0.128249503	0.115768709	0.128249503	0.115768709	0.107359913	0.115768709	0.14710564	0.128249503	0.176370951	0.14710564	0.115768709	0.107359913	0.14710564	0.107359913	0.14710564	0.101626678	0.115768709	0.107359913	0.101626678	0.107359913	0.097685857	0.115768709	0.107359913	0.107359913	0.223744292	0.128249503	0.128249503	0.128249503	0.128249503	0.14710564	0.107359913	0.101626678	0.101626678	0.107359913	0.101626678	0.128249503	0.115768709	0.115768709	0.14710564	0.128249503	0.115768709	0.128249503	0.101626678	0.128249503	0.223744292	0.115768709	0.128249503	0.107359913	0.14710564	0.107359913	0.107359913	0.115768709	0.14710564	0.14710564	0.101626678	0.128249503	0.176370951	0.14710564	0.14710564	0.14710564	0.101626678	0.107359913	0.115768709	0.107359913	0.101626678	0.115768709	0.115768709	0.128249503	0.097685857	0.128249503	0.14710564	0.115768709	0.101626678	0.101626678	0.128249503	0.107359913	0.14710564	0.107359913	0.543378995	0.107359913	0.107359913	0.101626678	0.128249503	0.14710564	0.101626678	0.107359913	0.107359913	0.107359913	0.176370951	0.107359913	0.14710564	0.176370951	0.128249503	0.115768709	0.101626678	0.115768709	0.115768709	0.115768709	0.305912596	0.107359913	0.128249503	0.107359913	0.128249503	0.176370951	0.115768709	0.176370951	0.115768709	0.14710564	0.115768709	0.101626678	0.128249503	0.128249503	0.128249503	0.107359913	0.107359913	0.128249503	0.107359913	0.107359913	0.115768709	0.107359913	0.107359913	0.115768709	0.094961959	0.107359913	0.115768709	0.115768709	0.176370951	0.176370951	0.115768709	0.107359913	0.128249503	0.101626678	0.115768709	0.107359913	0.115768709	0.14710564	0.107359913	0.097685857	0.094961959	0.101626678	0.176370951	0.14710564	0.115768709	0.14710564	0.094961959	0.176370951	0.14710564	0.107359913	0.093071947	0.107359913	0.115768709	0.14710564	0.115768709	0.14710564	0.128249503	0.107359913	0.176370951
melanoma	0.054521373	0.657472144	0.071429946	0.319248128	0.243677156	0.243677156	0.086581804	0.243677156	0.319248128	0.274166874	0.061343273	0.109892388	0.061343273	0.061343273	0.061343273	0.14710564	1	0.243677156	0.243677156	0.243677156	0.319248128	0.071429946	0.274166874	0.319248128	0.274166874	0.243677156	0.274166874	0.086581804	0.071429946	0.109892388	0.086581804	0.274166874	0.054521373	0.086581804	0.243677156	0.639392737	0.222834703	0.274166874	0.243677156	0.222834703	0.054521373	0.208482801	0.061343273	0.054521373	0.243677156	0.14710564	0.071429946	0.071429946	0.071429946	0.071429946	0.086581804	0.243677156	0.049857993	0.049857993	0.243677156	0.049857993	0.071429946	0.274166874	0.061343273	0.386967654	0.071429946	0.061343273	0.071429946	0.222834703	0.071429946	0.657472144	0.061343273	0.071429946	0.054521373	0.086581804	0.054521373	0.243677156	0.274166874	0.086581804	0.086581804	0.222834703	0.071429946	0.109892388	0.086581804	0.086581804	0.086581804	0.222834703	0.243677156	0.274166874	0.243677156	0.049857993	0.453010236	0.274166874	0.071429946	0.208482801	0.319248128	0.086581804	0.274166874	0.222834703	0.222834703	0.319248128	0.243677156	0.086581804	0.243677156	0.14710564	0.402631596	0.243677156	0.222834703	0.071429946	0.639392737	0.222834703	0.402631596	0.402631596	0.132409048	0.109892388	0.243677156	0.086581804	0.109892388	0.319248128	0.274166874	0.222834703	0.274166874	0.061343273	0.061343273	0.210167445	0.243677156	0.071429946	0.243677156	0.173472727	0.109892388	0.061343273	0.109892388	0.453010236	0.086581804	0.274166874	0.222834703	0.319248128	0.319248128	0.527498701	0.243677156	0.243677156	0.319248128	0.243677156	0.243677156	0.274166874	0.054521373	0.243677156	0.14897652	0.198550565	0.054521373	0.061343273	0.061343273	0.109892388	0.109892388	0.274166874	0.243677156	0.071429946	0.222834703	0.061343273	0.243677156	0.14897652	0.086581804	0.054521373	0.208482801	0.198550565	0.222834703	0.109892388	0.086581804	0.061343273	0.086581804	0.198550565	0.109892388	0.086581804	0.243677156	0.19165309	0.243677156	0.061343273	0.086581804	0.061343273	0.086581804	0.527498701	0.243677156	0.109892388
colorectal cancer	0.026217688	0.479833079	0.041172339	0.475531084	0.193613418	0.193613418	0.054521373	0.302808285	0.304051121	0.372579866	0.032258637	0.07496322	0.032258637	0.032258637	0.032258637	0.107359913	0.243677156	1	0.193613418	0.193613418	0.304051121	0.041172339	0.23822486	0.475531084	0.23822486	0.302808285	0.372579866	0.054521373	0.041172339	0.07496322	0.054521373	0.23822486	0.026217688	0.054521373	0.193613418	0.243677156	0.842271159	0.372579866	0.302808285	0.163074998	0.026217688	0.142026452	0.032258637	0.026217688	0.193613418	0.107359913	0.041172339	0.041172339	0.041172339	0.041172339	0.054521373	0.302808285	0.022082402	0.022082402	0.193613418	0.022082402	0.041172339	0.23822486	0.032258637	0.402631596	0.041172339	0.032258637	0.041172339	0.163074998	0.041172339	0.479833079	0.032258637	0.041172339	0.026217688	0.054521373	0.026217688	0.302808285	0.23822486	0.054521373	0.054521373	0.163074998	0.041172339	0.07496322	0.054521373	0.054521373	0.054521373	0.163074998	0.193613418	0.23822486	0.193613418	0.022082402	0.144176356	0.372579866	0.041172339	0.142026452	0.304051121	0.054521373	0.23822486	0.163074998	0.163074998	0.304051121	0.193613418	0.054521373	0.193613418	0.107359913	0.117177012	0.193613418	0.163074998	0.041172339	0.243677156	0.163074998	0.117177012	0.117177012	0.063671527	0.07496322	0.302808285	0.054521373	0.07496322	0.475531084	0.23822486	0.163074998	0.23822486	0.032258637	0.032258637	0.161604275	0.193613418	0.041172339	0.193613418	0.099989966	0.07496322	0.032258637	0.07496322	0.144176356	0.054521373	0.23822486	0.163074998	0.475531084	0.304051121	0.184015148	0.302808285	0.193613418	0.475531084	0.193613418	0.302808285	0.23822486	0.026217688	0.193613418	0.078342404	0.12745019	0.026217688	0.032258637	0.032258637	0.07496322	0.07496322	0.23822486	0.193613418	0.041172339	0.163074998	0.032258637	0.193613418	0.078342404	0.054521373	0.026217688	0.142026452	0.12745019	0.163074998	0.07496322	0.054521373	0.032258637	0.054521373	0.12745019	0.07496322	0.054521373	0.193613418	0.117323027	0.193613418	0.032258637	0.054521373	0.032258637	0.054521373	0.184015148	0.302808285	0.07496322
papillary thyroid carcinoma	0.026217688	0.479833079	0.041172339	0.304051121	0.193613418	0.193613418	0.054521373	0.193613418	0.304051121	0.23822486	0.032258637	0.07496322	0.032258637	0.032258637	0.032258637	0.107359913	0.243677156	0.193613418	1	0.193613418	0.304051121	0.041172339	0.23822486	0.304051121	0.23822486	0.193613418	0.23822486	0.054521373	0.041172339	0.07496322	0.054521373	0.23822486	0.026217688	0.054521373	0.193613418	0.243677156	0.163074998	0.23822486	0.193613418	0.163074998	0.026217688	0.142026452	0.032258637	0.026217688	0.193613418	0.107359913	0.041172339	0.041172339	0.041172339	0.041172339	0.054521373	0.193613418	0.022082402	0.022082402	0.193613418	0.022082402	0.041172339	0.23822486	0.032258637	0.402631596	0.041172339	0.032258637	0.041172339	0.163074998	0.041172339	0.479833079	0.032258637	0.041172339	0.026217688	0.054521373	0.026217688	0.193613418	0.23822486	0.054521373	0.054521373	0.255046685	0.041172339	0.07496322	0.054521373	0.054521373	0.054521373	0.163074998	0.193613418	0.23822486	0.193613418	0.022082402	0.144176356	0.23822486	0.041172339	0.142026452	0.304051121	0.054521373	0.23822486	0.163074998	0.163074998	0.475531084	0.193613418	0.054521373	0.302808285	0.107359913	0.117177012	0.193613418	0.163074998	0.041172339	0.243677156	0.163074998	0.117177012	0.117177012	0.063671527	0.07496322	0.193613418	0.054521373	0.07496322	0.304051121	0.23822486	0.163074998	0.23822486	0.032258637	0.032258637	0.161604275	0.193613418	0.041172339	0.302808285	0.099989966	0.07496322	0.032258637	0.07496322	0.144176356	0.054521373	0.23822486	0.163074998	0.304051121	0.304051121	0.184015148	0.193613418	0.193613418	0.304051121	0.193613418	0.193613418	0.372579866	0.026217688	0.193613418	0.078342404	0.12745019	0.026217688	0.032258637	0.032258637	0.07496322	0.07496322	0.23822486	0.193613418	0.041172339	0.163074998	0.032258637	0.193613418	0.078342404	0.054521373	0.026217688	0.142026452	0.12745019	0.163074998	0.07496322	0.054521373	0.032258637	0.054521373	0.12745019	0.07496322	0.054521373	0.193613418	0.117323027	0.193613418	0.032258637	0.054521373	0.032258637	0.054521373	0.184015148	0.193613418	0.07496322
osteosarcoma	0.026217688	0.479833079	0.041172339	0.304051121	0.193613418	0.193613418	0.054521373	0.193613418	0.304051121	0.23822486	0.032258637	0.07496322	0.032258637	0.032258637	0.032258637	0.107359913	0.243677156	0.193613418	0.193613418	1	0.304051121	0.041172339	0.23822486	0.304051121	0.23822486	0.193613418	0.23822486	0.054521373	0.041172339	0.07496322	0.054521373	0.23822486	0.026217688	0.054521373	0.193613418	0.243677156	0.163074998	0.23822486	0.193613418	0.163074998	0.026217688	0.142026452	0.032258637	0.026217688	0.193613418	0.107359913	0.041172339	0.041172339	0.041172339	0.041172339	0.054521373	0.193613418	0.022082402	0.022082402	0.193613418	0.022082402	0.041172339	0.23822486	0.032258637	0.402631596	0.041172339	0.032258637	0.041172339	0.163074998	0.041172339	0.479833079	0.032258637	0.041172339	0.026217688	0.054521373	0.026217688	0.193613418	0.23822486	0.054521373	0.054521373	0.163074998	0.041172339	0.07496322	0.054521373	0.054521373	0.054521373	0.163074998	0.193613418	0.23822486	0.193613418	0.022082402	0.144176356	0.23822486	0.041172339	0.142026452	0.304051121	0.054521373	0.23822486	0.163074998	0.163074998	0.304051121	0.193613418	0.054521373	0.193613418	0.107359913	0.117177012	0.193613418	0.163074998	0.041172339	0.243677156	0.163074998	0.117177012	0.117177012	0.063671527	0.07496322	0.193613418	0.054521373	0.07496322	0.304051121	0.23822486	0.163074998	0.23822486	0.032258637	0.032258637	0.161604275	0.193613418	0.041172339	0.193613418	0.099989966	0.07496322	0.032258637	0.07496322	0.144176356	0.054521373	0.23822486	0.163074998	0.304051121	0.304051121	0.184015148	0.193613418	0.193613418	0.304051121	0.193613418	0.193613418	0.23822486	0.026217688	0.193613418	0.078342404	0.12745019	0.026217688	0.032258637	0.032258637	0.07496322	0.07496322	0.23822486	0.193613418	0.041172339	0.163074998	0.032258637	0.193613418	0.078342404	0.054521373	0.026217688	0.142026452	0.12745019	0.163074998	0.07496322	0.054521373	0.032258637	0.054521373	0.12745019	0.07496322	0.054521373	0.193613418	0.117323027	0.302808285	0.032258637	0.054521373	0.032258637	0.054521373	0.184015148	0.193613418	0.07496322
